country,protection_against_hate_speech,protection_physical_mental_digital_safety_journalists,protection_physical_mental_digi_safety_journalists_harassmet
Austria,4.17,89.20,0.75
Belgium,5.63,80.53,0.73
Bulgaria,3.00,82.94,0.52
Croatia,4.00,84.71,0.58
Cyprus,6.25,88.44,0.59
Czech_Republic,5.00,92.27,0.73
Denmark,5.00,95.00,0.96
Estonia,4.50,90.79,0.85
Finland,6.00,90.35,0.88
France,6.50,76.64,0.83
Germany,4.58,66.88,0.77
Greece,7.50,71.44,0.57
Hungary,5.00,81.66,0.53
Ireland,5.63,96.94,0.84
Italy,5.00,86.83,0.79
Latvia,6.79,91.26,0.71
Lithuania,5.36,94.33,0.78
Luxembourg,6.88,91.67,0.73
Malta,6.88,84.31,0.53
Netherlands,4.58,80.18,0.69
Poland,4.29,85.82,0.50
Portugal,4.64,91.48,0.80
Romania,5.83,83.03,0.55
Slovakia,5.28,90.07,0.70
Slovenia,3.00,84.72,0.51
Spain,5.31,82.51,0.68
Sweden,7.50,84.72,0.76
